timestamp,app,instance_count,instance_ids
16:15:22,ORDER-API,1,order-api:035b94f9f2e9:8080|
16:15:22,USER-API,1,user-api:66371108db57:8080|
16:15:22,GATEWAY,1,a3f0bdfdbe7e:gateway:80|
16:16:10,ORDER-API,1,order-api:035b94f9f2e9:8080|
16:16:10,USER-API,1,user-api:66371108db57:8080|
16:16:10,GATEWAY,1,a3f0bdfdbe7e:gateway:80|
16:17:10,ORDER-API,1,order-api:035b94f9f2e9:8080|
16:17:10,USER-API,1,user-api:66371108db57:8080|
16:17:10,GATEWAY,1,a3f0bdfdbe7e:gateway:80|
16:18:09,ORDER-API,1,order-api:035b94f9f2e9:8080|
16:18:09,USER-API,1,user-api:66371108db57:8080|
16:18:09,GATEWAY,1,a3f0bdfdbe7e:gateway:80|
16:19:10,ORDER-API,1,order-api:035b94f9f2e9:8080|
16:19:10,USER-API,1,user-api:66371108db57:8080|
16:19:10,GATEWAY,1,a3f0bdfdbe7e:gateway:80|
16:20:33,ORDER-API,1,order-api:035b94f9f2e9:8080|
16:20:33,USER-API,1,user-api:66371108db57:8080|
16:20:33,GATEWAY,1,a3f0bdfdbe7e:gateway:80|
